model,year,region,color,fuel_type,transmission,engine_size_l,mileage_km,price_usd,sales_volume,sales_classification,year_scaled,year_outlier,mileage_km_bin,mileage_km_scaled,mileage_km_outlier,price_usd_bin,price_usd_scaled,price_usd_outlier,sales_volume_bin,sales_volume_scaled,sales_volume_outlier
7 series,2022,south america,blue,hybrid,automatic,3.2,84533.0,79717.0,814.0,low,1.1530981410643097,False,"(50121.5, 100436.0]",-0.27272797,False,"(75014.0, 97573.0]",0.17985691,False,"(99.999, 2591.0]",-1.4901462,False
3 series,2010,asia,black,hybrid,automatic,3.6,76467.0,45898.0,1363.0,low,-1.621446692296914,False,"(50121.5, 100436.0]",-0.41192868,False,"(29999.999, 52501.5]",-1.1226861,False,"(99.999, 2591.0]",-1.2979829,False
x6,2019,asia,red,petrol,automatic,3.5,8612.0,41949.0,2822.0,low,0.4594619327240037,False,"(2.999, 50121.5]",-1.5829508,False,"(29999.999, 52501.5]",-1.2747823,False,"(2591.0, 5097.0]",-0.7872974,False
i3,2015,south america,black,petrol,manual,3.7,2925.0,55557.0,5127.0,low,-0.46538634506307086,False,"(2.999, 50121.5]",-1.6810955,False,"(52501.5, 75014.0]",-0.7506685,False,"(5097.0, 7541.0]",0.019508556,False
x3,2023,africa,silver,hybrid,automatic,4.5,161609.0,66999.0,4756.0,low,1.3843102105110783,False,"(150610.0, 199996.0]",1.0574276,False,"(52501.5, 75014.0]",-0.30997846,False,"(2591.0, 5097.0]",-0.11035045,False
m3,2017,asia,blue,hybrid,manual,4.6,147490.0,57676.0,6120.0,low,-0.002962206169533556,False,"(100436.0, 150610.0]",0.81376594,False,"(52501.5, 75014.0]",-0.669055,False,"(5097.0, 7541.0]",0.3670827,False
x3,2022,africa,black,diesel,manual,4.1,78845.0,119080.0,9677.0,high,1.1530981410643097,False,"(50121.5, 100436.0]",-0.37088984,False,"(97573.0, 119998.0]",1.6959277,False,"(7541.0, 9999.0]",1.6121191,False
m3,2022,europe,grey,hybrid,automatic,1.8,74166.0,94543.0,8772.0,high,1.1530981410643097,False,"(50121.5, 100436.0]",-0.4516387,False,"(75014.0, 97573.0]",0.75088215,False,"(7541.0, 9999.0]",1.2953471,False
5 series,2010,south america,grey,petrol,manual,4.9,171160.0,80560.0,7274.0,high,-1.621446692296914,False,"(150610.0, 199996.0]",1.2222561,False,"(75014.0, 97573.0]",0.21232516,False,"(5097.0, 7541.0]",0.7710107,False
i3,2011,south america,black,diesel,automatic,4.8,166759.0,95346.0,8269.0,high,-1.3902346228501454,False,"(150610.0, 199996.0]",1.1463048,False,"(75014.0, 97573.0]",0.7818098,False,"(7541.0, 9999.0]",1.1192849,False
x5,2023,middle east,grey,electric,manual,4.0,176494.0,96361.0,4767.0,low,1.3843102105110783,False,"(150610.0, 199996.0]",1.3143086,False,"(75014.0, 97573.0]",0.82090265,False,"(2591.0, 5097.0]",-0.106500186,False
5 series,2024,europe,white,electric,automatic,3.3,110957.0,101032.0,6994.0,low,1.615522279957847,False,"(100436.0, 150610.0]",0.18328987,False,"(97573.0, 119998.0]",1.0008068,False,"(5097.0, 7541.0]",0.6730039,False
3 series,2013,africa,blue,hybrid,automatic,2.4,179714.0,70497.0,5506.0,low,-0.9278104839566081,False,"(150610.0, 199996.0]",1.3698785,False,"(52501.5, 75014.0]",-0.17525254,False,"(5097.0, 7541.0]",0.15216777,False
i3,2021,south america,grey,hybrid,manual,4.1,5140.0,92982.0,856.0,low,0.921886071617541,False,"(2.999, 50121.5]",-1.6428697,False,"(75014.0, 97573.0]",0.69076,False,"(99.999, 2591.0]",-1.4754452,False
x5,2011,middle east,white,petrol,manual,4.6,57312.0,37001.0,8569.0,high,-1.3902346228501454,False,"(50121.5, 100436.0]",-0.7425002,False,"(29999.999, 52501.5]",-1.4653552,False,"(7541.0, 9999.0]",1.2242922,False
m5,2020,middle east,white,petrol,automatic,3.8,145062.0,58378.0,4656.0,low,0.6906740021707723,False,"(100436.0, 150610.0]",0.77186424,False,"(52501.5, 75014.0]",-0.64201736,False,"(2591.0, 5097.0]",-0.14535289,False
x5,2018,africa,blue,petrol,manual,3.7,129946.0,55746.0,4513.0,low,0.2282498632772351,False,"(100436.0, 150610.0]",0.5109966,False,"(52501.5, 75014.0]",-0.7433891,False,"(2591.0, 5097.0]",-0.19540636,False
m3,2019,africa,black,hybrid,automatic,2.2,37645.0,79593.0,1961.0,low,0.4594619327240037,False,"(2.999, 50121.5]",-1.0819076,False,"(75014.0, 97573.0]",0.17508103,False,"(99.999, 2591.0]",-1.0886683,False
m5,2017,south america,silver,diesel,automatic,2.8,150819.0,84379.0,5517.0,low,-0.002962206169533556,False,"(150610.0, 199996.0]",0.8712169,False,"(75014.0, 97573.0]",0.35941443,False,"(5097.0, 7541.0]",0.15601803,False
7 series,2017,north america,blue,electric,manual,4.0,91368.0,116042.0,4121.0,low,-0.002962206169533556,False,"(50121.5, 100436.0]",-0.15477149,False,"(97573.0, 119998.0]",1.5789188,False,"(2591.0, 5097.0]",-0.33261588,False
x5,2013,africa,black,electric,manual,1.6,64151.0,61780.0,8917.0,high,-0.9278104839566081,False,"(50121.5, 100436.0]",-0.6244747,False,"(52501.5, 75014.0]",-0.5109889,False,"(7541.0, 9999.0]",1.3461006,False
7 series,2014,asia,blue,petrol,automatic,3.7,64905.0,111997.0,8998.0,high,-0.6965984145098395,False,"(50121.5, 100436.0]",-0.6114624,False,"(97573.0, 119998.0]",1.4231251,False,"(7541.0, 9999.0]",1.3744526,False
i8,2013,africa,silver,hybrid,manual,4.2,46174.0,93495.0,6783.0,low,-0.9278104839566081,False,"(2.999, 50121.5]",-0.93471664,False,"(75014.0, 97573.0]",0.7105183,False,"(5097.0, 7541.0]",0.5991488,False
3 series,2022,asia,black,petrol,automatic,2.7,180070.0,33557.0,2378.0,low,1.1530981410643097,False,"(150610.0, 199996.0]",1.3760222,False,"(29999.999, 52501.5]",-1.5980012,False,"(99.999, 2591.0]",-0.9427082,False
m5,2018,europe,red,petrol,automatic,1.8,131566.0,105745.0,4834.0,low,0.2282498632772351,False,"(100436.0, 150610.0]",0.5389541,False,"(97573.0, 119998.0]",1.1823286,False,"(2591.0, 5097.0]",-0.08304856,False
m3,2022,north america,silver,diesel,automatic,4.4,97947.0,106230.0,8668.0,high,1.1530981410643097,False,"(50121.5, 100436.0]",-0.041232992,False,"(97573.0, 119998.0]",1.2010084,False,"(7541.0, 9999.0]",1.2589445,False
x6,2011,north america,blue,electric,manual,2.0,153411.0,37381.0,7174.0,high,-1.3902346228501454,False,"(150610.0, 199996.0]",0.91594887,False,"(29999.999, 52501.5]",-1.4507194,False,"(5097.0, 7541.0]",0.7360083,False
5 series,2022,middle east,grey,diesel,automatic,2.8,184049.0,92723.0,9261.0,high,1.1530981410643097,False,"(150610.0, 199996.0]",1.4446907,False,"(75014.0, 97573.0]",0.68078464,False,"(7541.0, 9999.0]",1.466509,False
5 series,2020,africa,blue,petrol,manual,4.0,13743.0,44272.0,4604.0,low,0.6906740021707723,False,"(2.999, 50121.5]",-1.4944016,False,"(29999.999, 52501.5]",-1.1853117,False,"(2591.0, 5097.0]",-0.16355415,False
i8,2017,middle east,red,diesel,automatic,4.4,103954.0,30927.0,9076.0,high,-0.002962206169533556,False,"(100436.0, 150610.0]",0.062434096,False,"(29999.999, 52501.5]",-1.699296,False,"(7541.0, 9999.0]",1.4017545,False
i8,2011,south america,blue,diesel,automatic,4.5,17639.0,64153.0,6271.0,low,-1.3902346228501454,False,"(2.999, 50121.5]",-1.4271655,False,"(52501.5, 75014.0]",-0.4195925,False,"(5097.0, 7541.0]",0.41993636,False
x6,2010,north america,grey,electric,manual,3.4,138639.0,31000.0,7090.0,high,-1.621446692296914,False,"(100436.0, 150610.0]",0.6610179,False,"(29999.999, 52501.5]",-1.6964844,False,"(5097.0, 7541.0]",0.7066062,False
i8,2019,south america,white,hybrid,automatic,3.2,124997.0,93230.0,5070.0,low,0.4594619327240037,False,"(100436.0, 150610.0]",0.42558816,False,"(75014.0, 97573.0]",0.7003118,False,"(2591.0, 5097.0]",-0.00044282858,False
7 series,2012,north america,red,diesel,automatic,4.5,10674.0,86849.0,7695.0,high,-1.1590225534033767,False,"(2.999, 50121.5]",-1.5473654,False,"(75014.0, 97573.0]",0.45454678,False,"(7541.0, 9999.0]",0.91837096,False
x1,2018,africa,silver,electric,automatic,3.5,154953.0,84970.0,8894.0,high,0.2282498632772351,False,"(150610.0, 199996.0]",0.94256026,False,"(75014.0, 97573.0]",0.38217685,False,"(7541.0, 9999.0]",1.33805,False
3 series,2021,south america,black,diesel,manual,3.5,196026.0,70893.0,6803.0,low,0.921886071617541,False,"(150610.0, 199996.0]",1.6513864,False,"(52501.5, 75014.0]",-0.16000055,False,"(5097.0, 7541.0]",0.60614926,False
i8,2012,asia,red,electric,manual,3.0,197391.0,65022.0,1478.0,low,-1.1590225534033767,False,"(150610.0, 199996.0]",1.6749431,False,"(52501.5, 75014.0]",-0.38612285,False,"(99.999, 2591.0]",-1.2577301,False
m5,2018,north america,white,electric,automatic,2.8,109313.0,30127.0,3807.0,low,0.2282498632772351,False,"(100436.0, 150610.0]",0.15491818,False,"(29999.999, 52501.5]",-1.7301081,False,"(2591.0, 5097.0]",-0.4425235,False
x6,2016,europe,grey,diesel,automatic,3.2,122567.0,58555.0,8823.0,high,-0.2341742756163022,False,"(100436.0, 150610.0]",0.38365194,False,"(52501.5, 75014.0]",-0.63520014,False,"(7541.0, 9999.0]",1.3131983,False
7 series,2022,south america,red,electric,automatic,2.8,43686.0,119052.0,5671.0,low,1.1530981410643097,False,"(2.999, 50121.5]",-0.9776538,False,"(97573.0, 119998.0]",1.6948494,False,"(5097.0, 7541.0]",0.20992178,False
7 series,2019,middle east,blue,hybrid,automatic,2.7,97092.0,119751.0,147.0,low,0.4594619327240037,False,"(50121.5, 100436.0]",-0.055988338,False,"(97573.0, 119998.0]",1.7217714,False,"(99.999, 2591.0]",-1.7236124,False
3 series,2010,middle east,silver,hybrid,automatic,5.0,51421.0,40790.0,4785.0,low,-1.621446692296914,False,"(50121.5, 100436.0]",-0.8441654,False,"(29999.999, 52501.5]",-1.3194213,False,"(2591.0, 5097.0]",-0.10019975,False
i3,2019,asia,grey,diesel,automatic,2.7,165895.0,48781.0,6620.0,low,0.4594619327240037,False,"(150610.0, 199996.0]",1.1313941,False,"(29999.999, 52501.5]",-1.011647,False,"(5097.0, 7541.0]",0.5420948,False
x1,2014,middle east,silver,electric,automatic,2.4,46172.0,30712.0,6111.0,low,-0.6965984145098395,False,"(2.999, 50121.5]",-0.93475115,False,"(29999.999, 52501.5]",-1.7075768,False,"(5097.0, 7541.0]",0.36393246,False
x6,2018,europe,silver,diesel,manual,2.7,4610.0,83889.0,4113.0,low,0.2282498632772351,False,"(2.999, 50121.5]",-1.6520163,False,"(75014.0, 97573.0]",0.34054202,False,"(2591.0, 5097.0]",-0.33541608,False
3 series,2021,south america,silver,petrol,automatic,3.6,32588.0,95802.0,3798.0,low,0.921886071617541,False,"(2.999, 50121.5]",-1.1691799,False,"(75014.0, 97573.0]",0.7993727,False,"(2591.0, 5097.0]",-0.44567373,False
i8,2024,south america,white,diesel,manual,4.7,130842.0,38182.0,7280.0,high,1.615522279957847,False,"(100436.0, 150610.0]",0.5264595,False,"(29999.999, 52501.5]",-1.4198688,False,"(5097.0, 7541.0]",0.77311087,False
x3,2024,south america,grey,hybrid,automatic,4.3,185778.0,75254.0,1548.0,low,1.615522279957847,False,"(150610.0, 199996.0]",1.4745293,False,"(75014.0, 97573.0]",0.007963905,False,"(99.999, 2591.0]",-1.2332283,False
x1,2012,north america,red,diesel,manual,4.4,107964.0,84838.0,2514.0,low,-1.1590225534033767,False,"(100436.0, 150610.0]",0.13163753,False,"(75014.0, 97573.0]",0.37709287,False,"(99.999, 2591.0]",-0.89510494,False
m3,2018,africa,red,hybrid,automatic,4.5,150311.0,49351.0,4873.0,low,0.2282498632772351,False,"(100436.0, 150610.0]",0.86244994,False,"(29999.999, 52501.5]",-0.98969334,False,"(2591.0, 5097.0]",-0.06939761,False
m3,2014,europe,grey,diesel,manual,4.7,150277.0,81958.0,2478.0,low,-0.6965984145098395,False,"(100436.0, 150610.0]",0.8618632,False,"(75014.0, 97573.0]",0.2661693,False,"(99.999, 2591.0]",-0.9077058,False
x6,2018,asia,black,petrol,manual,2.3,35430.0,82231.0,4019.0,low,0.2282498632772351,False,"(2.999, 50121.5]",-1.1201335,False,"(75014.0, 97573.0]",0.27668393,False,"(2591.0, 5097.0]",-0.36831835,False
5 series,2019,north america,silver,diesel,manual,3.1,154766.0,80280.0,639.0,low,0.4594619327240037,False,"(150610.0, 199996.0]",0.9393331,False,"(75014.0, 97573.0]",0.20154092,False,"(99.999, 2591.0]",-1.5514004,False
3 series,2015,north america,silver,petrol,manual,2.8,134829.0,56840.0,9144.0,high,-0.46538634506307086,False,"(100436.0, 150610.0]",0.59526604,False,"(52501.5, 75014.0]",-0.7012536,False,"(7541.0, 9999.0]",1.4255562,False
m3,2018,north america,red,hybrid,manual,2.8,54650.0,67809.0,492.0,low,0.2282498632772351,False,"(50121.5, 100436.0]",-0.7884402,False,"(52501.5, 75014.0]",-0.2787812,False,"(99.999, 2591.0]",-1.602854,False
m3,2016,asia,silver,electric,manual,3.8,174183.0,102644.0,4445.0,low,-0.2341742756163022,False,"(150610.0, 199996.0]",1.2744261,False,"(97573.0, 119998.0]",1.0628932,False,"(2591.0, 5097.0]",-0.21920802,False
x3,2016,north america,red,diesel,automatic,2.9,116858.0,55855.0,6909.0,low,-0.2341742756163022,False,"(100436.0, 150610.0]",0.28512764,False,"(52501.5, 75014.0]",-0.739191,False,"(5097.0, 7541.0]",0.64325184,False
7 series,2017,asia,red,hybrid,manual,3.7,135127.0,40776.0,2675.0,low,-0.002962206169533556,False,"(100436.0, 150610.0]",0.6004088,False,"(29999.999, 52501.5]",-1.3199606,False,"(2591.0, 5097.0]",-0.838751,False
3 series,2016,north america,white,diesel,manual,2.8,21302.0,102195.0,478.0,low,-0.2341742756163022,False,"(2.999, 50121.5]",-1.3639505,False,"(97573.0, 119998.0]",1.0455998,False,"(99.999, 2591.0]",-1.6077543,False
x3,2021,north america,black,diesel,manual,2.6,140162.0,114486.0,319.0,low,0.921886071617541,False,"(100436.0, 150610.0]",0.6873014,False,"(97573.0, 119998.0]",1.5189893,False,"(99.999, 2591.0]",-1.6634083,False
3 series,2018,middle east,silver,petrol,manual,2.7,166319.0,79002.0,974.0,low,0.2282498632772351,False,"(150610.0, 199996.0]",1.1387115,False,"(75014.0, 97573.0]",0.1523186,False,"(99.999, 2591.0]",-1.4341424,False
m3,2020,asia,silver,hybrid,automatic,4.3,8930.0,34395.0,2451.0,low,0.6906740021707723,False,"(2.999, 50121.5]",-1.5774629,False,"(29999.999, 52501.5]",-1.5657256,False,"(99.999, 2591.0]",-0.91715646,False
i8,2018,north america,white,diesel,manual,3.6,185740.0,44101.0,2178.0,low,0.2282498632772351,False,"(150610.0, 199996.0]",1.4738735,False,"(29999.999, 52501.5]",-1.1918977,False,"(99.999, 2591.0]",-1.0127131,False
x1,2015,south america,silver,petrol,manual,4.9,63994.0,115975.0,742.0,low,-0.46538634506307086,False,"(50121.5, 100436.0]",-0.62718415,False,"(97573.0, 119998.0]",1.5763383,False,"(99.999, 2591.0]",-1.515348,False
3 series,2016,asia,white,petrol,manual,4.4,189567.0,70761.0,371.0,low,-0.2341742756163022,False,"(150610.0, 199996.0]",1.5399188,False,"(52501.5, 75014.0]",-0.16508456,False,"(99.999, 2591.0]",-1.6452069,False
3 series,2011,europe,red,electric,automatic,3.2,109241.0,77120.0,123.0,low,-1.3902346228501454,False,"(100436.0, 150610.0]",0.15367563,False,"(75014.0, 97573.0]",0.07983313,False,"(99.999, 2591.0]",-1.732013,False
x1,2024,africa,silver,hybrid,automatic,2.3,108073.0,105911.0,9900.0,high,1.615522279957847,False,"(100436.0, 150610.0]",0.13351862,False,"(97573.0, 119998.0]",1.1887221,False,"(7541.0, 9999.0]",1.6901745,False
m3,2018,asia,black,hybrid,manual,3.9,69881.0,35048.0,9394.0,high,0.2282498632772351,False,"(50121.5, 100436.0]",-0.525588,False,"(29999.999, 52501.5]",-1.5405751,False,"(7541.0, 9999.0]",1.5130622,False
7 series,2021,south america,white,petrol,manual,4.0,105870.0,113497.0,7401.0,high,0.921886071617541,False,"(100436.0, 150610.0]",0.09549987,False,"(97573.0, 119998.0]",1.4808978,False,"(5097.0, 7541.0]",0.8154638,False
m3,2022,asia,white,electric,manual,3.1,179609.0,99033.0,1999.0,low,1.1530981410643097,False,"(150610.0, 199996.0]",1.3680664,False,"(97573.0, 119998.0]",0.9238151,False,"(99.999, 2591.0]",-1.0753675,False
i3,2010,asia,red,diesel,manual,2.3,29323.0,106021.0,6088.0,low,-1.621446692296914,False,"(2.999, 50121.5]",-1.2255263,False,"(97573.0, 119998.0]",1.1929587,False,"(5097.0, 7541.0]",0.3558819,False
i3,2010,north america,red,petrol,manual,3.5,199419.0,106487.0,3938.0,low,-1.621446692296914,False,"(150610.0, 199996.0]",1.7099417,False,"(97573.0, 119998.0]",1.2109067,False,"(2591.0, 5097.0]",-0.3966703,False
x5,2012,africa,blue,diesel,automatic,2.4,60120.0,43531.0,5061.0,low,-1.1590225534033767,False,"(50121.5, 100436.0]",-0.69404054,False,"(29999.999, 52501.5]",-1.2138515,False,"(2591.0, 5097.0]",-0.0035930471,False
m5,2021,south america,grey,diesel,automatic,4.8,55954.0,42948.0,3237.0,low,0.921886071617541,False,"(50121.5, 100436.0]",-0.7659362,False,"(29999.999, 52501.5]",-1.2363057,False,"(2591.0, 5097.0]",-0.64203733,False
i8,2015,europe,grey,diesel,manual,3.7,168392.0,58266.0,7784.0,high,-0.46538634506307086,False,"(150610.0, 199996.0]",1.1744866,False,"(52501.5, 75014.0]",-0.646331,False,"(7541.0, 9999.0]",0.9495231,False
i8,2014,africa,blue,petrol,manual,2.5,78946.0,44659.0,716.0,low,-0.6965984145098395,False,"(50121.5, 100436.0]",-0.36914682,False,"(29999.999, 52501.5]",-1.1704063,False,"(99.999, 2591.0]",-1.5244486,False
x1,2024,south america,silver,hybrid,automatic,2.3,53676.0,64466.0,478.0,low,1.615522279957847,False,"(50121.5, 100436.0]",-0.8052493,False,"(52501.5, 75014.0]",-0.40753725,False,"(99.999, 2591.0]",-1.6077543,False
7 series,2011,africa,blue,electric,manual,4.0,61731.0,115075.0,4163.0,low,-1.3902346228501454,False,"(50121.5, 100436.0]",-0.66623837,False,"(97573.0, 119998.0]",1.5416747,False,"(2591.0, 5097.0]",-0.31791487,False
5 series,2018,africa,blue,electric,manual,4.0,31876.0,80696.0,5262.0,low,0.2282498632772351,False,"(2.999, 50121.5]",-1.1814674,False,"(75014.0, 97573.0]",0.21756321,False,"(5097.0, 7541.0]",0.06676184,False
x1,2023,north america,blue,petrol,manual,3.6,190440.0,108207.0,1411.0,low,1.3843102105110783,False,"(150610.0, 199996.0]",1.5549848,False,"(97573.0, 119998.0]",1.2771528,False,"(99.999, 2591.0]",-1.2811817,False
x3,2022,asia,silver,electric,manual,3.7,37969.0,36638.0,9832.0,high,1.1530981410643097,False,"(2.999, 50121.5]",-1.0763161,False,"(29999.999, 52501.5]",-1.4793361,False,"(7541.0, 9999.0]",1.6663729,False
x6,2019,north america,red,petrol,manual,3.6,55977.0,61773.0,122.0,low,0.4594619327240037,False,"(50121.5, 100436.0]",-0.7655392,False,"(52501.5, 75014.0]",-0.5112585,False,"(99.999, 2591.0]",-1.732363,False
m5,2023,south america,black,electric,automatic,2.8,90487.0,91357.0,6209.0,low,1.3843102105110783,False,"(50121.5, 100436.0]",-0.16997553,False,"(75014.0, 97573.0]",0.62817293,False,"(5097.0, 7541.0]",0.39823484,False
m3,2013,middle east,grey,hybrid,automatic,4.8,161074.0,34669.0,8132.0,high,-0.9278104839566081,False,"(150610.0, 199996.0]",1.0481948,False,"(29999.999, 52501.5]",-1.5551724,False,"(7541.0, 9999.0]",1.0713315,False
x3,2013,middle east,white,diesel,manual,3.2,97742.0,63204.0,4635.0,low,-0.9278104839566081,False,"(50121.5, 100436.0]",-0.044770826,False,"(52501.5, 75014.0]",-0.45614335,False,"(2591.0, 5097.0]",-0.15270339,False
m5,2014,europe,grey,hybrid,manual,1.6,54488.0,93408.0,2970.0,low,-0.6965984145098395,False,"(50121.5, 100436.0]",-0.791236,False,"(75014.0, 97573.0]",0.7071675,False,"(2591.0, 5097.0]",-0.73549384,False
x6,2024,europe,grey,hybrid,automatic,2.7,454.0,49456.0,5201.0,low,1.615522279957847,False,"(2.999, 50121.5]",-1.7237393,False,"(29999.999, 52501.5]",-0.9856493,False,"(5097.0, 7541.0]",0.045410354,False
x1,2017,africa,black,hybrid,automatic,2.0,113941.0,54268.0,3220.0,low,-0.002962206169533556,False,"(100436.0, 150610.0]",0.23478688,False,"(52501.5, 75014.0]",-0.8003145,False,"(2591.0, 5097.0]",-0.6479878,False
i3,2019,asia,silver,hybrid,automatic,2.8,32983.0,117441.0,2578.0,low,0.4594619327240037,False,"(2.999, 50121.5]",-1.1623632,False,"(97573.0, 119998.0]",1.6328014,False,"(99.999, 2591.0]",-0.8727034,False
i3,2013,north america,red,electric,automatic,3.6,67618.0,55348.0,357.0,low,-0.9278104839566081,False,"(50121.5, 100436.0]",-0.5646422,False,"(52501.5, 75014.0]",-0.7587182,False,"(99.999, 2591.0]",-1.6501073,False
x6,2014,europe,grey,hybrid,automatic,1.6,199578.0,88489.0,362.0,low,-0.6965984145098395,False,"(150610.0, 199996.0]",1.7126857,False,"(75014.0, 97573.0]",0.5177116,False,"(99.999, 2591.0]",-1.6483572,False
x5,2021,north america,silver,electric,automatic,4.5,50561.0,113067.0,9804.0,high,0.921886071617541,False,"(50121.5, 100436.0]",-0.85900706,False,"(97573.0, 119998.0]",1.4643363,False,"(7541.0, 9999.0]",1.6565722,False
i8,2013,europe,red,petrol,automatic,3.6,131786.0,105265.0,4640.0,low,-0.9278104839566081,False,"(100436.0, 150610.0]",0.5427508,False,"(97573.0, 119998.0]",1.1638414,False,"(2591.0, 5097.0]",-0.15095328,False
x1,2023,europe,blue,diesel,automatic,2.5,146044.0,66069.0,1412.0,low,1.3843102105110783,False,"(100436.0, 150610.0]",0.78881127,False,"(52501.5, 75014.0]",-0.3457975,False,"(99.999, 2591.0]",-1.2808317,False
i8,2015,africa,red,hybrid,automatic,2.6,146030.0,81106.0,251.0,low,-0.46538634506307086,False,"(100436.0, 150610.0]",0.7885697,False,"(75014.0, 97573.0]",0.23335442,False,"(99.999, 2591.0]",-1.6872098,False
x5,2021,north america,white,electric,manual,3.1,196946.0,51200.0,6403.0,low,0.921886071617541,False,"(150610.0, 199996.0]",1.6672635,False,"(29999.999, 52501.5]",-0.9184789,False,"(5097.0, 7541.0]",0.46613955,False
7 series,2012,north america,grey,diesel,manual,2.4,10953.0,88376.0,8538.0,high,-1.1590225534033767,False,"(2.999, 50121.5]",-1.5425506,False,"(75014.0, 97573.0]",0.51335937,False,"(7541.0, 9999.0]",1.2134414,False
x3,2017,africa,silver,electric,automatic,1.5,169198.0,107662.0,1698.0,low,-0.002962206169533556,False,"(150610.0, 199996.0]",1.1883965,False,"(97573.0, 119998.0]",1.256162,False,"(99.999, 2591.0]",-1.1807247,False
7 series,2015,middle east,red,electric,manual,1.6,64478.0,89718.0,3314.0,low,-0.46538634506307086,False,"(50121.5, 100436.0]",-0.61883146,False,"(75014.0, 97573.0]",0.56504667,False,"(2591.0, 5097.0]",-0.6150855,False
i3,2019,middle east,red,electric,manual,2.8,53056.0,43071.0,4804.0,low,0.4594619327240037,False,"(50121.5, 100436.0]",-0.815949,False,"(29999.999, 52501.5]",-1.2315683,False,"(2591.0, 5097.0]",-0.09354929,False
i3,2014,europe,grey,petrol,manual,1.9,15651.0,33741.0,9650.0,high,-0.6965984145098395,False,"(2.999, 50121.5]",-1.4614738,False,"(29999.999, 52501.5]",-1.5909145,False,"(7541.0, 9999.0]",1.6026684,False
i3,2022,africa,grey,electric,automatic,1.6,17296.0,56375.0,8570.0,high,1.1530981410643097,False,"(2.999, 50121.5]",-1.4330848,False,"(52501.5, 75014.0]",-0.7191631,False,"(7541.0, 9999.0]",1.2246422,False
5 series,2024,asia,blue,diesel,automatic,4.5,93099.0,118494.0,2039.0,low,1.615522279957847,False,"(50121.5, 100436.0]",-0.12489839,False,"(97573.0, 119998.0]",1.6733578,False,"(99.999, 2591.0]",-1.0613664,False
m3,2011,north america,grey,diesel,automatic,2.5,15665.0,89223.0,5206.0,low,-1.3902346228501454,False,"(2.999, 50121.5]",-1.4612322,False,"(75014.0, 97573.0]",0.5459817,False,"(5097.0, 7541.0]",0.047160476,False
5 series,2019,north america,silver,electric,automatic,3.3,43797.0,57660.0,1898.0,low,0.4594619327240037,False,"(2.999, 50121.5]",-0.9757382,False,"(52501.5, 75014.0]",-0.6696712,False,"(99.999, 2591.0]",-1.1107199,False
x3,2019,north america,red,hybrid,manual,2.1,89521.0,89150.0,346.0,low,0.4594619327240037,False,"(50121.5, 100436.0]",-0.18664649,False,"(75014.0, 97573.0]",0.5431701,False,"(99.999, 2591.0]",-1.6539576,False
3 series,2016,europe,silver,diesel,manual,1.7,38468.0,85924.0,9748.0,high,-0.2341742756163022,False,"(2.999, 50121.5]",-1.0677046,False,"(75014.0, 97573.0]",0.41892028,False,"(7541.0, 9999.0]",1.6369708,False
5 series,2011,asia,black,hybrid,automatic,4.1,38146.0,78426.0,3674.0,low,-1.3902346228501454,False,"(2.999, 50121.5]",-1.0732615,False,"(75014.0, 97573.0]",0.13013388,False,"(2591.0, 5097.0]",-0.48907673,False
x6,2010,africa,grey,electric,automatic,1.9,94800.0,85456.0,4133.0,low,-1.621446692296914,False,"(50121.5, 100436.0]",-0.09554302,False,"(75014.0, 97573.0]",0.4008952,False,"(2591.0, 5097.0]",-0.3284156,False
5 series,2016,north america,grey,hybrid,automatic,1.6,43504.0,94923.0,9119.0,high,-0.2341742756163022,False,"(2.999, 50121.5]",-0.9807947,False,"(75014.0, 97573.0]",0.7655179,False,"(7541.0, 9999.0]",1.4168055,False
3 series,2014,africa,white,petrol,automatic,3.6,184629.0,69130.0,1002.0,low,-0.6965984145098395,False,"(150610.0, 199996.0]",1.4547002,False,"(52501.5, 75014.0]",-0.22790273,False,"(99.999, 2591.0]",-1.4243417,False
x1,2010,europe,red,electric,manual,1.5,5141.0,94980.0,3611.0,low,-1.621446692296914,False,"(2.999, 50121.5]",-1.6428524,False,"(75014.0, 97573.0]",0.76771325,False,"(2591.0, 5097.0]",-0.51112825,False
x1,2024,north america,black,electric,automatic,3.0,50138.0,99390.0,7887.0,high,1.615522279957847,False,"(50121.5, 100436.0]",-0.8663071,False,"(97573.0, 119998.0]",0.93756497,False,"(7541.0, 9999.0]",0.9855756,False
x3,2013,africa,white,electric,manual,2.5,74784.0,64746.0,512.0,low,-0.9278104839566081,False,"(50121.5, 100436.0]",-0.44097343,False,"(52501.5, 75014.0]",-0.396753,False,"(99.999, 2591.0]",-1.5958536,False
x1,2021,europe,grey,hybrid,automatic,2.6,178580.0,113078.0,9969.0,high,0.921886071617541,False,"(150610.0, 199996.0]",1.3503083,False,"(97573.0, 119998.0]",1.46476,False,"(7541.0, 9999.0]",1.7143261,False
5 series,2022,asia,grey,electric,automatic,1.5,71808.0,32077.0,5899.0,low,1.1530981410643097,False,"(50121.5, 100436.0]",-0.4923324,False,"(29999.999, 52501.5]",-1.6550037,False,"(5097.0, 7541.0]",0.2897273,False
